Blog	four	looking	second	here	music	until	example	want	how	series	re	service	project	tech	came	best	country	asked	much	life	things	had	has	right	old	people	sure	continue	support	time	team	sign	along	love	working	such	data	so	years	didn	internet	million	quite	open	future	san	say	take	drive	ways	going	where	up	screen	many	photos	technology	being	around	world	power	favorite	her	site	am	an	as	having	tv	th	case	large	small	past	hours	via	company	states	its	always	found	really	major	number	show	self	also	play	sometimes	set	see	available	last	whole	community	person	using	couple	d	by	anything	into	link	line	us	ago	try	video	let	great	makes	tools	next	process	high	doing	could	system	face	should	hope	move	means	stuff	email	co	ve	less	web	five	become	problem	all	told	thursday	word	work	after	then	them	they	another	do	away	com	easy	night	security	post	months	way	was	update	together	global	cost	change	live	car	can	heard	product	remember	still	not	now	year	space	shows	care	friend	than	online	only	between	comes	these	media	real	read	business	your	aren	start	lot	trying	since	month	very	family	put	takes	almost	help	actually	ask	american	off	mobile	latest	pretty	during	won	probably	both	else	lives	look	while	used	march	game	some	step	within	doesn	e	go	does	facebook	click	started	control	links	including	special	times	wikileaks	need	able	based	course	she	key	single	i	well	page	twitter	home	he	stay	friends	amp	updates	companies	likely	even	ever	never	call	tell	give	president	before	personal	better	weeks	went	side	content	isn	matter	seen	seem	don	m	stop	bad	decided	said	against	three	seven	if	make	left	just	human	yes	yet	deal	popular	down	digital	daily	did	run	making	may	man	maybe	talk	nbsp	group	interesting	living	thing	think	first	long	little	anyone	were	enough	get	morning	reading	across	mark	those	different	pay	same	running	money	again	important	u	public	search	two	share	needs	through	good	everyone	house	hard	idea	done	least	part	believe	most	find	please	understand	itself	spend	big	bit	google	often	back	giving	others	later	themselves	ll	day	announced	text	taking	value	helped	thought	add	like	works	buy	our	under	every	would	phone	must	me	my	keep	end	over	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	full	news	conference	been	quickly	several	social	everything	head	donald	no	when	focus	cool	says	goes	water	today	thousands	trump	information	platform	happened	feature	name	turn	place	coming	given	white	any	ideas	state	review	outside	come	myself	someone	week	without	seems	blog	or	there	follow	woman	far	list	design	version	rather	short	might	health	feel	story	store	nothing	his	him	wrote	are	recently	question	fast	called	users	once	issues	app	use	few	women	something	united	six	instead	looks	related	out	york	their	which	who	why	view	stories	job	will	gets	point	book	know	because	getting	own	apps	made	whether	below	other
Signal v. Noise - Medium	2	2	2	18	0	1	8	17	48	2	38	2	6	0	2	8	0	4	7	6	27	10	18	5	9	47	14	0	2	36	15	2	1	4	5	0	2	29	9	8	0	0	0	7	0	0	13	8	1	4	10	19	32	7	5	1	0	14	3	1	4	0	10	1	1	32	38	3	0	5	0	3	6	4	10	1	25	4	3	9	4	9	5	1	1	1	7	3	4	3	14	4	17	4	1	32	3	3	13	30	7	13	2	2	18	6	8	1	12	10	9	1	6	0	0	5	8	2	2	20	0	2	7	9	5	2	21	1	1	1	3	2	29	1	1	8	23	14	10	25	59	7	48	5	1	1	0	1	6	1	17	45	4	8	0	3	4	2	0	54	2	5	6	3	34	26	4	1	2	7	4	15	0	16	1	5	13	1	4	2	12	46	5	4	7	8	3	3	4	0	4	2	6	12	6	15	0	2	0	1	5	2	1	2	2	4	0	3	8	4	6	0	11	2	1	9	2	5	5	0	3	1	4	0	0	0	2	0	4	2	1	2	20	0	11	133	12	3	0	3	13	0	2	1	4	9	1	18	1	6	0	4	15	0	8	6	12	10	3	5	1	2	0	3	2	35	15	3	13	4	1	3	6	0	53	14	1	33	3	1	8	0	3	8	1	2	5	4	2	4	0	0	1	0	2	2	2	14	17	6	1	7	7	13	3	27	1	0	5	0	15	7	0	4	3	4	1	10	0	0	0	8	5	1	2	25	6	1	0	0	7	1	0	4	10	10	6	1	2	2	4	4	1	9	10	7	8	0	5	20	11	0	0	0	2	3	8	2	37	3	0	27	1	8	9	1	0	20	34	3	3	15	2	7	5	4	4	2	1	4	7	1	1	5	1	5	4	0	11	1	0	4	4	3	0	15	39	1	0	0	2	7	7	1	0	3	0	3	0	0	1	10	3	2	3	13	2	0	2	2	16	2	12	8	4	5	0	60	25	2	0	0	1	5	4	9	0	8	0	19	12	2	2	10	1	6	67	5	3	0	3	1	5	2	5	5	15	0	17	3	9	14	2	0	22	0	32	8	17	16	1	0	3	5	1	3	3	27	13	2	10	0	6	1	6	32
456 Berea Street	0	0	0	2	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	3	1	0	1	0	0	0	1	0	1	0	5	6	1	1	0	0	1	0	0	0	0	1	0	2	1	1	2	6	4	0	1	2	0	0	0	0	0	2	0	4	5	1	0	0	1	0	2	0	0	0	0	0	7	1	1	3	0	1	0	0	1	0	2	3	4	0	0	0	0	0	3	1	3	3	0	1	1	0	0	2	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	3	0	4	0	0	3	3	0	0	0	1	3	1	2	1	0	5	0	0	1	0	0	4	0	1	6	0	0	0	0	1	0	0	6	0	0	0	0	4	1	0	0	0	0	0	6	0	1	0	1	1	0	0	10	0	1	0	0	1	1	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	6	2	2	0	0	5	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	30	4	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	1	0	2	0	0	0	0	0	1	3	0	1	0	4	0	1	0	0	0	0	1	0	4	5	0	1	0	0	0	0	0	4	0	0	0	0	2	5	0	0	0	0	0	0	0	0	3	0	1	1	1	3	1	2	0	0	0	0	1	5	0	1	0	0	1	1	0	0	0	1	1	2	1	1	0	0	0	0	0	3	1	0	3	1	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	5	0	2	0	2	1	3	0	0	0	0	2	0	0	0	2	3	1	0	4	1	2	0	0	0	0	1	2	2	0	0	0	0	12	1	0	3	0	1	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	9	6	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	9	0	0	0	0	1	1	1	1	1	0	3	4	1	2	0	0	0	5	1	0	0	0	1	1	1	0	0	0	1	0
Joel on Software	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	3	0	0	2	0	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	2	0	0	0	0	1	0	0	10	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
Boing Boing	0	0	1	2	1	2	0	1	5	2	7	0	2	2	0	2	1	2	2	7	0	6	16	2	8	3	0	0	1	2	9	2	0	2	1	0	4	3	5	6	1	0	0	7	0	0	0	6	0	1	0	2	9	0	0	2	1	3	1	0	1	0	2	0	0	18	12	0	2	0	0	0	1	0	1	7	2	2	5	1	5	1	1	1	2	1	5	0	0	4	1	0	1	1	0	0	0	1	1	15	1	7	0	0	8	1	0	5	0	2	2	2	1	3	1	0	3	3	0	0	0	0	0	2	2	1	0	0	3	3	0	3	5	2	0	2	5	3	5	8	10	2	2	1	4	0	0	1	0	3	4	9	0	1	0	0	0	0	2	13	1	0	1	2	4	3	5	0	0	1	0	5	0	2	1	1	5	0	2	0	0	18	2	0	1	2	1	0	4	1	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0	0	2	4	3	0	0	4	0	0	0	2	2	2	1	1	0	3	0	0	0	2	0	2	1	0	0	1	2	0	21	1	0	1	0	19	0	1	1	0	1	0	0	2	4	0	0	1	0	1	1	1	0	1	2	0	0	1	0	0	4	2	3	0	1	3	2	2	0	8	2	0	6	1	0	0	0	0	1	1	0	3	0	4	5	2	0	0	0	1	0	1	0	2	0	1	0	1	1	0	3	0	2	1	0	0	2	1	1	1	1	1	0	2	1	0	5	0	1	0	3	1	0	6	1	0	0	1	0	2	1	2	0	1	0	2	0	0	0	1	0	1	1	2	1	0	0	1	1	0	0	5	0	4	0	1	2	1	2	1	0	0	2	5	2	0	2	0	2	4	1	0	1	1	0	1	1	1	3	7	0	2	2	5	1	1	1	1	1	3	3	6	0	2	3	1	2	0	0	3	3	0	2	2	0	2	0	0	1	0	0	3	0	1	1	1	0	0	0	2	0	0	8	2	0	1	1	0	0	2	0	0	1	2	0	1	2	0	15	2	1	11	0	0	1	2	0	2	0	1	1	0	0	0	2	0	1	2	0	9	0	2	4	5	3	0	0	1	1	2	0	4	2	8	0	2	2	3	2	0	7
The Full Feed from HuffingtonPost.com	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	2	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	2	0	0	2	0	1	0	0	1	2	0	2	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	1	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	2	6	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	2	1	0	1	0	1	3	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	6	0	0	0	7	0	1	0	0	0	4	1	0	0	1	0	0	1	0	2	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	5	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	4	0	2	1
WIL WHEATON dot NET	1	1	0	5	0	2	0	9	7	0	1	0	1	0	1	0	0	0	5	0	8	3	4	0	1	5	1	0	1	9	1	0	0	0	2	1	0	14	0	2	1	0	3	1	0	0	10	2	0	0	4	3	9	0	1	0	0	2	5	3	0	0	6	0	11	5	7	1	4	0	0	0	2	3	0	0	0	0	2	2	1	4	0	0	2	0	6	1	0	0	1	0	3	1	1	0	1	3	3	7	2	7	1	0	8	1	1	2	0	1	0	0	0	0	0	2	1	0	0	2	2	0	0	8	0	0	2	0	0	0	0	0	14	0	0	0	4	1	4	9	10	1	8	0	0	0	2	8	7	1	6	12	0	2	0	0	3	2	0	8	0	0	0	0	28	4	0	4	1	1	5	3	1	2	1	0	4	0	0	5	0	4	1	0	7	0	0	2	1	0	5	3	0	0	0	3	0	1	0	0	2	1	0	1	1	1	1	3	2	0	0	4	4	0	0	0	1	2	4	0	0	1	0	1	2	0	0	0	2	0	0	1	9	0	0	145	1	0	1	0	17	1	1	0	0	0	3	2	2	1	2	4	2	0	4	1	1	1	1	1	2	1	2	0	2	6	13	1	1	1	0	1	2	0	7	7	2	10	1	0	3	0	1	1	0	1	12	0	0	3	0	2	0	8	0	1	1	16	5	3	0	2	3	2	1	4	1	0	0	0	3	1	0	0	0	1	0	1	0	0	0	2	2	1	1	4	1	1	0	4	2	3	0	0	0	0	0	5	1	0	1	0	0	1	7	2	1	1	0	4	7	0	0	0	0	1	2	0	10	0	0	6	0	7	5	1	3	27	47	1	1	3	3	0	2	1	0	1	1	0	2	0	0	0	4	0	1	0	5	0	0	0	2	1	1	5	8	1	0	5	0	0	1	2	1	0	0	1	0	1	0	0	0	2	2	2	0	0	0	0	2	5	2	2	1	1	5	14	7	0	1	0	0	0	0	1	3	0	0	4	2	0	1	11	8	1	10	0	2	0	2	0	0	0	0	3	2	1	4	0	0	2	1	0	6	0	6	2	18	1	0	0	0	21	0	4	2	10	5	0	4	0	3	0	0	3
Latest from Crooks and Liars	0	1	0	1	0	1	1	2	5	0	2	0	0	0	0	1	1	2	4	1	0	4	5	2	0	10	0	2	2	2	0	0	1	1	0	2	0	6	0	2	0	3	0	0	0	0	1	0	2	1	3	2	3	0	2	0	0	0	0	0	0	0	2	0	0	5	9	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	3	0	2	2	0	0	0	1	0	3	1	6	0	0	1	0	0	1	3	0	0	0	0	0	1	1	1	0	1	3	0	0	0	0	0	3	2	1	0	0	0	3	3	1	2	0	2	3	3	6	15	0	8	0	0	0	0	0	1	0	0	12	0	0	2	2	2	0	1	5	1	0	2	1	4	2	1	3	1	6	0	3	0	1	0	0	3	0	0	8	1	2	1	3	0	1	0	0	3	0	0	1	0	1	2	1	2	1	0	3	2	3	0	0	1	0	1	0	0	1	1	0	1	0	0	4	0	3	0	0	0	0	1	0	0	0	0	8	2	0	1	0	2	0	0	16	1	0	1	0	8	0	0	0	0	0	2	3	0	3	0	0	1	3	3	0	2	0	0	1	0	1	0	0	0	3	0	1	2	1	7	2	0	0	9	4	0	8	3	1	1	3	0	1	0	1	1	0	1	3	0	0	1	0	1	0	0	2	3	0	0	1	1	3	2	5	1	0	0	0	3	0	1	0	1	0	0	1	3	0	0	1	0	0	1	0	2	5	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	4	3	3	4	1	7	0	0	4	0	0	0	2	0	0	1	3	1	1	0	0	0	0	3	1	1	1	2	1	7	0	0	0	0	1	2	8	4	0	0	1	1	0	2	0	16	1	2	0	0	0	1	1	1	0	3	2	0	3	1	0	0	1	0	0	0	0	0	2	12	0	0	3	0	0	0	1	1	1	12	1	0	0	0	3	1	0	10	1	1	0	1	0	0	1	0	0	0	1	2	2	0	1	1	0	4	0	5	4	4	4	0	0	1	4	1	5	0	4	8	1	0	0	1	1	0	1
Creating Passionate Users	0	0	0	1	0	0	1	1	3	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	4	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	0	0	2	2	1	2	0	1	0	0	2	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	2	0	0	0	0	2	0	0	0	1	0	2	1	0	1	0	0	0	4	1	0	0	0	5	0	1	5	0	1	0	1	0	0	0	0	0	1	0	0	1	2	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1
Kotaku	1	0	1	2	1	0	0	0	0	1	2	0	0	0	1	6	0	0	1	0	0	1	7	0	2	4	1	0	0	1	2	0	0	1	1	0	0	2	0	0	0	2	0	2	0	1	0	2	0	1	1	1	4	0	0	0	0	0	2	4	0	2	3	0	0	6	7	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	4	0	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	2	2	1	0	0	0	1	0	3	2	0	0	1	0	0	3	0	1	0	0	3	1	3	3	1	2	0	0	0	0	0	0	3	0	6	2	0	0	0	0	1	0	4	0	0	0	0	1	3	0	1	0	1	1	2	0	1	1	0	0	0	2	25	0	4	0	0	0	0	0	0	3	0	0	0	1	2	1	3	0	2	1	0	0	0	0	0	0	1	0	1	0	1	0	20	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	1	0	5	0	0	0	1	2	0	0	0	0	0	0	1	2	0	0	1	4	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	2	1	0	1	4	0	0	0	0	0	1	0	1	0	0	0	1	0	1	3	0	2	0	1	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	2	0	0	1	1	2	0	1	0	1	0	0	1	0	6	0	1	4	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	3	1	0	0	0	0	1	1	0	4	0	0	0	1	0	0	2	3	0	2	0	0	0	8	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	2	0	0	1	0	1	0	0	0	2	0	0	0	0	1	5	2	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	5	0	2	2	1	1	0	1	0	1	1	0	0	1	1	0	3	1	0	0	0	1
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	13	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Scobleizer	0	2	1	11	2	0	0	0	5	0	0	1	0	0	0	0	0	0	3	0	0	0	4	0	0	2	0	14	1	0	0	0	0	0	1	0	0	0	4	1	0	0	1	0	4	0	1	0	0	0	3	3	3	0	1	0	0	0	2	6	1	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	2	0	0	0	1	0	2	0	0	0	2	0	0	2	0	2	0	5	2	0	0	1	0	1	0	0	6	0	0	0	2	0	0	1	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	4	0	0	1	4	0	2	8	0	1	0	0	1	0	0	3	0	1	0	1	0	6	1	0	1	0	0	0	0	0	0	2	1	3	1	0	1	0	1	1	1	0	2	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	1	1	0	1	0	6	0	0	0	0	1	1	5	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	33	3	0	3	0	0	0	2	0	1	4	0	1	0	0	0	1	0	0	0	5	2	0	1	0	1	0	0	1	0	2	7	0	0	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	3	1	0	0	0	0	2	0	14	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	13	0	5	1	0	0	0	3	0	0	0	0	0	1	2	1	4	1	0	7	0	1	0	0	0	6	9	0	0	6	1	3	3	0	1	0	0	0	2	0	0	0	0	0	1	0	2	0	1	3	2	0	0	5	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	1	0	0	5	7	4	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	4	0	0	2	3	7	0	0	0	6	0	0	0	1	2	0	0	0	0	0	0	4
Derek Powazek	0	1	0	6	0	0	0	1	7	0	7	0	0	1	1	1	0	0	1	5	1	3	5	4	2	2	1	4	0	4	0	0	1	1	0	0	0	7	5	1	1	0	0	1	0	2	3	1	0	1	4	0	11	0	1	2	0	0	1	3	0	0	9	2	3	5	10	0	0	0	0	0	2	0	0	0	1	0	1	4	1	2	0	1	3	1	2	0	0	0	3	1	7	0	3	0	1	4	2	5	1	4	2	0	4	2	1	0	1	5	0	0	1	1	1	1	1	0	1	1	2	0	0	1	0	0	11	1	1	0	0	0	10	0	0	3	3	4	7	2	6	3	7	1	1	2	2	0	3	2	0	13	1	1	0	2	1	2	1	8	0	1	0	4	6	10	4	0	0	0	1	2	2	1	4	1	2	2	0	0	1	6	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	2	1	1	0	1	1	0	0	3	0	0	0	0	4	0	0	0	2	0	0	0	2	1	0	1	1	0	1	7	1	1	69	2	1	1	0	5	0	2	0	1	0	0	1	1	3	1	0	0	0	1	0	0	2	3	0	1	0	0	1	0	4	12	0	3	1	3	1	4	0	9	1	1	11	0	1	1	1	0	2	1	0	4	0	0	0	1	1	3	0	0	0	0	4	4	3	1	7	0	2	5	6	2	4	0	0	1	0	0	3	0	3	2	0	0	0	0	9	1	0	1	1	1	0	3	0	1	0	2	0	2	1	0	0	2	0	1	0	0	2	2	0	0	1	0	4	2	1	0	1	0	0	1	0	9	0	1	3	1	3	0	0	1	15	22	0	0	5	2	1	1	0	0	4	1	2	2	3	1	0	1	1	1	1	8	0	0	0	2	0	0	2	11	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	3	0	0	3	0	0	1	5	7	1	2	0	0	1	0	0	1	1	0	5	3	0	0	3	2	1	11	0	0	1	0	0	2	2	0	0	5	0	8	0	2	0	0	0	9	0	4	2	1	1	0	1	1	5	2	0	6	6	3	2	2	0	2	0	0	3
Captain's Quarters	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	7	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	4	0	0	0	0	1	0	1	0	0	0	1	3	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	3	0	0	2	1	0	0	0	0	0	0	1	2	0	1	0	0	1	0	1	0	0	1	0	0	0	1	3	0	0	0	1	2	0	2	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	4	0	1	6	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	1	4	0	6	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2
